"","eventid","country_txt","latitude","longitude","attacktype1","targtype1","region","weaptype1","imonth","suicide","gname","guncertain1","doubtterr","groups"
"6016",201209090012,"Iraq",34.003712,44.395378,"3","14","10","6","9","0","Al-Qaida in Iraq","0","0",3
"6017",201209090013,"Iraq",33.509167,44.234167,"3","14","10","6","9","0","Al-Qaida in Iraq","0","0",3
"6018",201209090014,"Iraq",33.509167,44.234167,"3","14","10","6","9","0","Al-Qaida in Iraq","0","0",3
"6019",201209090015,"Iraq",33.509167,44.234167,"3","14","10","6","9","0","Al-Qaida in Iraq","0","0",3
"6020",201209090016,"Iraq",33.75,44.633333,"3","2","10","6","9","0","Al-Qaida in Iraq","0","0",3
"6021",201209090017,"Iraq",33.75,44.633333,"3","14","10","6","9","0","Al-Qaida in Iraq","0","0",3
"6022",201209090018,"Iraq",33.75,44.633333,"3","14","10","6","9","0","Al-Qaida in Iraq","0","0",3
"6023",201209090019,"Iraq",33.75,44.633333,"3","14","10","6","9","0","Al-Qaida in Iraq","0","0",3
"6024",201209090020,"Iraq",33.75,44.633333,"3","14","10","6","9","0","Al-Qaida in Iraq","0","0",3
"6025",201209090021,"Iraq",33.35,43.783333,"2","4","10","5","9","0","Al-Qaida in Iraq","0","1",2
